compression_name,number,dataset,division_coefficient,compression_size,compressed_time
Fauna,0.0,turbinelog,16,7.5G,826.0
Fauna,0.01,turbinelog,16,5.8G,1220.0
Fauna,0.1,turbinelog,16,4.0G,1685.0
Fauna,0.0,turbinelog,2,7.6G,779.0
Fauna,0.01,turbinelog,2,6.0G,1056.0
Fauna,0.1,turbinelog,2,4.5G,891.0
Fauna,1.0,turbinelog,2,3.1G,754.0
Fauna,10.0,turbinelog,2,1.2G,543.0
Fauna,5.0,turbinelog,2,1.7G,587.0
Fauna,0.0,turbinelog,4,7.5G,784.0
Fauna,0.01,turbinelog,4,5.9G,1125.0
Fauna,0.1,turbinelog,4,4.2G,1101.0
Fauna,1.0,turbinelog,4,2.7G,928.0
Fauna,10.0,turbinelog,4,1.1G,571.0
Fauna,5.0,turbinelog,4,1.5G,673.0
Fauna,0.0,turbinelog,8,7.5G,801.0
Fauna,0.01,turbinelog,8,5.8G,1168.0
Fauna,0.1,turbinelog,8,4.1G,1387.0
Fauna,1.0,turbinelog,8,2.5G,1357.0
Fauna,10.0,turbinelog,8,1.1G,722.0
Fauna,5.0,turbinelog,8,1.4G,862.0
